protein	frequency
NP_536856.2	163
NP_536858.1	123
NP_536859.1	129
NP_542117.3	345
NP_542119.1	111
NP_542138.1	152
NP_542141.1	101
NP_542155.1	170
NP_542158.1	218
NP_542159.3	116
NP_542160.1	16
NP_542161.1	94
NP_542163.1	85
NP_542164.2	259
NP_542165.1	33
NP_542166.1	261
NP_542167.1	199
NP_542168.1	76
NP_542170.3	166
NP_542171.2	208
NP_542172.2	74
NP_542173.2	48
NP_542174.1	78
NP_542175.1	90
NP_542177.1	63
NP_542178.2	84
NP_542179.1	112
NP_542181.1	90
NP_542182.1	70
NP_542183.2	134
NP_542184.1	41
NP_542185.2	240
NP_542188.1	66
NP_542189.1	165
NP_542192.2	113
NP_542193.3	72
NP_542194.2	404
NP_542195.1	109
NP_542196.2	560
NP_542197.3	494
NP_542198.2	218
NP_542199.1	81
NP_542376.2	540
NP_542377.1	89
NP_542378.1	125
NP_542379.1	133
NP_542380.1	133
NP_542381.1	79
NP_542382.1	49
NP_542383.1	80
NP_542385.1	101
NP_542386.1	71
NP_542387.1	39
NP_542388.2	138
NP_542389.1	143
NP_542390.2	37
NP_542391.2	64
NP_542392.2	133
NP_542393.1	107
NP_542394.2	113
NP_542395.1	46
NP_542397.1	130
NP_542398.3	129
NP_542399.1	75
NP_542400.2	124
NP_542401.1	152
NP_542402.3	57
NP_542403.1	181
NP_542406.2	137
NP_542407.2	120
NP_542408.1	9
NP_542409.1	37
NP_542413.1	186
NP_542414.1	809
NP_542415.1	741
NP_542416.1	810
NP_542417.2	881
NP_542418.1	151
NP_542432.2	85
NP_542433.1	300
NP_542434.1	300
NP_542435.2	349
NP_542436.2	349
NP_542437.2	349
NP_542448.1	131
NP_542452.1	64
NP_542453.2	526
NP_542454.3	59
NP_542763.1	38
NP_542768.2	191
NP_542770.2	138
NP_542775.2	131
NP_542776.1	46
NP_542777.1	78
NP_542778.2	240
NP_542779.2	269
NP_542780.1	129
NP_542781.3	75
NP_542782.1	202
NP_542783.2	127
NP_542784.1	90
NP_542785.1	229
NP_542786.1	20
NP_542787.1	103
NP_542788.1	34
NP_542789.2	335
NP_542790.2	223
NP_542791.1	32
NP_542937.3	151
NP_542938.3	107
NP_542942.2	171
NP_542970.1	128
NP_542984.2	151
NP_542986.1	201
NP_542987.2	418
NP_542988.3	197
NP_542990.3	210
NP_542991.3	211
NP_542992.3	204
NP_542995.3	179
NP_543006.2	73
NP_543007.1	67
NP_543008.3	133
NP_543009.2	232
NP_543010.3	52
NP_543011.2	41
NP_543012.1	125
NP_543013.1	253
NP_543015.1	37
NP_543016.1	139
NP_543017.1	33
NP_543019.2	417
NP_543020.2	47
NP_543021.1	57
NP_543022.1	59
NP_543023.2	257
NP_543024.2	221
NP_543026.2	84
NP_543028.1	114
NP_543030.1	203
NP_543031.1	203
NP_543135.1	147
NP_543136.1	139
NP_543137.2	165
NP_543138.1	84
NP_543139.4	208
NP_543140.1	76
NP_543141.3	67
NP_543142.2	258
NP_543143.1	156
NP_543144.1	107
NP_543145.1	47
NP_543146.2	207
NP_543147.2	204
NP_543148.2	242
NP_543149.1	103
NP_543150.1	138
NP_543151.2	386
NP_543152.1	73
NP_543153.1	310
NP_543154.1	138
NP_543155.2	48
NP_543157.1	230
NP_550433.1	128
NP_550434.1	125
NP_550435.1	112
NP_550436.1	117
NP_550438.1	111
NP_550440.1	81
NP_563578.2	321
NP_563615.3	236
NP_563616.3	202
NP_567822.1	136
NP_567823.1	121
NP_567824.1	96
NP_569055.1	243
NP_569056.4	328
NP_569057.1	229
NP_569058.1	136
NP_569059.3	104
NP_569074.2	107
NP_569075.2	441
NP_569076.2	441
NP_569079.1	235
NP_569082.2	343
NP_569118.1	214
NP_569119.1	191
NP_569120.1	157
NP_569122.1	72
NP_569157.2	78
NP_569708.1	63
NP_569709.1	47
NP_569710.2	302
NP_569711.2	773
NP_569712.2	606
NP_569713.2	223
NP_569730.1	36
NP_569731.2	3
NP_569732.2	116
NP_569733.2	368
NP_569734.2	28
NP_569735.1	102
NP_569736.1	46
NP_569826.2	583
NP_569827.2	567
NP_569828.2	561
NP_569829.2	589
NP_569830.2	545
NP_569831.1	583
NP_569832.2	582
NP_570115.1	93
NP_570116.2	117
NP_570118.1	72
NP_570122.1	127
NP_570123.1	215
NP_570124.1	174
NP_570125.1	50
NP_570126.2	189
NP_570127.3	86
NP_570128.2	41
NP_570129.1	457
NP_570131.1	39
NP_570132.1	38
NP_570137.2	45
NP_570138.1	74
NP_570139.3	89
NP_570140.1	89
NP_570141.3	127
NP_570602.2	186
NP_570603.2	145
NP_570607.1	91
NP_570612.1	63
NP_570613.2	343
NP_570629.2	200
NP_570710.1	38
NP_570711.1	111
NP_570712.1	112
NP_570713.1	112
NP_570714.1	112
NP_570715.1	112
NP_570716.1	112
NP_570718.1	228
NP_570719.1	128
NP_570720.1	123
NP_570721.1	167
NP_570722.2	175
NP_570824.1	26
NP_570843.2	261
NP_570853.1	113
NP_570854.1	118
NP_570855.2	302
NP_570856.2	302
NP_570857.2	424
NP_570858.2	412
NP_570897.2	136
NP_570899.1	308
NP_570900.1	130
NP_570901.2	261
NP_570911.2	129
NP_570913.1	96
NP_570923.2	434
NP_570924.2	576
NP_570925.2	434
NP_570966.2	94
NP_570967.1	44
NP_570968.1	159
NP_570969.2	251
NP_570970.2	78
NP_570972.2	42
NP_570981.1	44
NP_573398.2	81
NP_573399.2	84
NP_573400.3	417
NP_573403.1	145
NP_573418.2	180
NP_573419.2	180
NP_573420.2	180
NP_573438.3	483
NP_573439.2	481
NP_573440.1	38
NP_573441.2	301
NP_573444.2	220
NP_573566.2	539
NP_573568.1	112
NP_573569.1	40
NP_573570.3	407
NP_573571.1	168
NP_573572.1	138
NP_573573.2	420
NP_573574.1	76
NP_579803.1	122
NP_579805.1	92
NP_579806.1	124
NP_579807.1	86
NP_579808.1	97
NP_579811.1	76
NP_579812.1	116
NP_579866.2	109
NP_579872.1	19
NP_579874.1	100
NP_579875.1	86
NP_579877.1	317
NP_579878.1	317
NP_579889.1	178
NP_579890.1	317
NP_579899.1	790
NP_579916.1	219
NP_579917.1	226
NP_579918.1	169
NP_579919.1	192
NP_579920.1	219
NP_579921.1	219
NP_579922.1	219
NP_588608.1	115
NP_588609.1	93
NP_588610.2	231
NP_588611.2	159
NP_588612.2	103
NP_588613.2	305
NP_588614.1	234
NP_588615.2	261
NP_588616.1	348
NP_596867.1	126
NP_596869.4	11400
NP_596870.2	2143
NP_597676.3	9296
NP_597677.2	502
NP_597680.2	146
NP_597683.3	98
NP_597700.1	137
NP_597701.1	266
NP_597702.2	367
NP_597703.2	3
NP_597704.1	148
NP_597705.2	389
NP_597707.1	346
NP_597709.2	235
NP_597711.1	340
NP_597712.2	140
NP_597713.2	286
NP_597714.2	175
NP_597715.2	198
NP_597716.1	171
NP_597717.1	304
NP_597719.1	268
NP_597720.1	351
NP_597721.2	162
NP_597722.1	220
NP_597723.1	121
NP_597724.1	22
NP_597725.1	255
NP_597728.1	187
NP_597731.2	419
NP_597732.1	349
NP_597733.2	113
NP_597734.2	469
NP_597812.1	391
NP_597814.1	87
NP_597841.1	31
NP_597846.1	67
NP_597994.3	47
NP_597996.2	215
NP_597998.1	53
NP_597999.1	104
NP_598000.2	527
NP_598001.1	62
NP_598003.2	124
NP_598004.1	438
NP_598005.1	36
NP_598006.1	63
NP_598009.1	192
NP_598010.1	110
NP_598011.1	73
NP_598012.1	55
NP_598013.1	50
NP_598014.1	19
NP_598193.2	117
NP_598194.1	108
NP_598332.1	86
NP_598334.2	513
NP_598344.2	145
NP_598368.2	153
NP_598375.2	376
NP_598376.2	237
NP_598378.3	47
NP_598395.1	84
NP_598399.2	226
NP_598400.1	257
NP_598407.1	112
NP_598408.1	255
NP_599020.1	92
NP_599021.1	92
NP_599022.1	116
NP_599023.1	85
NP_599024.1	72
NP_599025.2	280
NP_599027.1	86
NP_599028.1	223
NP_599030.1	52
NP_599031.1	382
NP_599032.2	391
NP_599150.1	76
NP_599151.2	73
NP_599152.2	336
NP_602293.1	32
NP_602296.2	168
NP_602297.1	116
NP_602298.2	271
NP_602299.1	65
NP_602304.1	121
NP_602307.1	242
NP_602309.1	186
NP_604389.1	98
NP_604390.1	82
NP_604391.1	48
NP_604393.2	443
NP_604394.1	49
NP_604395.1	55
NP_608273.1	89
NP_612114.2	344
NP_612122.2	123
NP_612138.1	96
NP_612139.1	30
NP_612140.1	59
NP_612141.1	53
NP_612142.2	92
NP_612143.2	265
NP_612144.1	250
NP_612145.2	25
NP_612146.1	119
NP_612147.1	131
NP_612151.1	52
NP_612152.1	1055
NP_612153.2	91
NP_612154.2	458
NP_612157.1	118
NP_612189.2	70
NP_612190.1	192
NP_612191.1	189
NP_612192.1	299
NP_612195.1	140
NP_612196.1	173
NP_612197.1	185
NP_612198.2	189
NP_612199.2	130
NP_612200.1	148
NP_612201.1	138
NP_612202.2	281
NP_612203.2	219
NP_612204.1	45
NP_612206.4	87
NP_612207.1	65
NP_612208.1	61
NP_612210.4	96
NP_612211.1	87
NP_612213.2	128
NP_612350.1	85
NP_612351.2	263
NP_612352.1	122
NP_612353.3	154
NP_612354.1	134
NP_612355.1	93
NP_612356.2	252
NP_612357.4	59
NP_612358.3	149
NP_612359.2	49
NP_612361.1	92
NP_612364.2	188
NP_612366.1	73
NP_612367.1	79
NP_612369.3	446
NP_612370.3	272
NP_612371.2	23
NP_612372.1	307
NP_612373.2	261
NP_612376.1	247
NP_612377.4	351
NP_612378.1	44
NP_612379.2	153
NP_612380.1	174
NP_612382.1	138
NP_612383.1	344
NP_612384.1	93
NP_612385.2	143
NP_612387.1	242
NP_612388.2	167
NP_612390.1	135
NP_612391.1	32
NP_612392.1	295
NP_612393.2	156
NP_612394.1	82
NP_612395.2	176
NP_612396.1	116
NP_612398.2	206
NP_612399.1	115
NP_612400.3	83
NP_612401.2	246
NP_612403.2	101
NP_612404.1	218
NP_612405.2	85
NP_612408.3	168
NP_612409.1	356
NP_612410.1	112
NP_612411.4	165
NP_612412.2	84
NP_612417.1	47
NP_612418.2	71
NP_612419.1	39
NP_612420.1	119
NP_612421.1	143
NP_612422.2	153
NP_612423.1	37
NP_612424.1	187
NP_612426.1	155
NP_612428.2	143
NP_612429.2	3140
NP_612430.2	160
NP_612432.2	127
NP_612433.1	195
NP_612434.1	61
NP_612435.1	148
NP_612437.3	13
NP_612439.2	176
NP_612440.1	146
NP_612441.1	142
NP_612442.2	195
NP_612443.1	112
NP_612444.2	167
NP_612445.2	41
NP_612446.1	175
NP_612448.1	61
NP_612449.2	285
NP_612450.2	165
NP_612451.1	74
NP_612452.1	100
NP_612453.1	72
NP_612454.1	187
NP_612455.1	121
NP_612456.1	146
NP_612457.1	49
NP_612459.1	87
NP_612460.1	136
NP_612461.1	132
NP_612462.1	73
NP_612463.1	84
NP_612464.1	67
NP_612465.3	102
NP_612466.1	194
NP_612467.1	113
NP_612468.1	33
NP_612469.1	67
NP_612470.2	65
NP_612471.1	47
NP_612472.1	91
NP_612474.1	141
NP_612475.1	69
NP_612476.1	95
NP_612477.3	150
NP_612480.1	136
NP_612482.2	215
NP_612485.2	72
NP_612486.2	436
NP_612490.1	78
NP_612493.1	115
NP_612494.1	120
NP_612501.3	54
NP_612502.1	40
NP_612503.1	167
NP_612504.1	72
NP_612505.1	44
NP_612508.3	232
NP_612510.1	52
NP_612561.2	16
NP_612564.1	273
NP_612565.1	266
NP_612567.1	209
NP_612568.1	35
NP_612569.1	51
NP_612632.1	175
NP_612634.3	198
NP_612635.3	164
NP_612636.2	191
NP_612637.1	338
NP_612638.3	44
NP_612639.2	119
NP_612640.1	42
NP_612642.2	73
NP_612808.1	158
NP_612815.1	60
NP_613075.1	61
NP_613258.2	63
NP_619515.1	95
NP_619520.1	204
NP_619522.3	61
NP_619523.3	67
NP_619524.3	89
NP_619525.1	290
NP_619526.1	206
NP_619527.1	87
NP_619528.1	74
NP_619529.1	38
NP_619530.1	58
NP_619531.1	16
NP_619532.1	58
NP_619533.1	12
NP_619538.2	144
NP_619540.1	17
NP_619541.1	13
NP_619542.1	130
NP_619543.2	204
NP_619579.1	27
NP_619580.1	143
NP_619584.1	112
NP_619585.1	142
NP_619634.1	34
NP_619635.1	444
NP_619636.2	235
NP_619639.3	1550
NP_619642.2	348
NP_619645.1	84
NP_619646.1	51
NP_619647.1	180
NP_619648.1	181
NP_619649.1	126
NP_619650.2	76
NP_619651.3	143
NP_619723.1	320
NP_619725.2	100
NP_619726.2	100
NP_619727.2	348
NP_619728.2	327
NP_619729.1	250
NP_619730.1	215
NP_619731.2	67
NP_619732.2	268
NP_619790.1	48
NP_620048.1	109
NP_620049.1	109
NP_620055.1	192
NP_620056.1	193
NP_620057.1	195
NP_620058.1	14
NP_620059.1	164
NP_620061.2	180
NP_620063.1	116
NP_620073.2	63
NP_620074.3	257
NP_620077.1	60
NP_620116.1	66
NP_620118.1	41
NP_620119.2	64
NP_620121.1	274
NP_620123.2	169
NP_620124.1	330
NP_620125.1	99
NP_620126.2	45
NP_620129.2	115
NP_620130.2	160
NP_620132.1	109
NP_620133.1	171
NP_620134.3	64
NP_620135.1	187
NP_620137.2	146
NP_620138.2	188
NP_620140.1	98
NP_620141.1	71
NP_620142.2	79
NP_620143.1	111
NP_620144.1	100
NP_620145.2	220
NP_620147.1	156
NP_620148.1	182
NP_620149.2	129
NP_620150.1	19
NP_620151.1	160
NP_620152.1	72
NP_620153.1	73
NP_620154.2	107
NP_620155.1	16
NP_620156.1	146
NP_620157.1	109
NP_620158.3	236
NP_620159.2	186
NP_620160.1	96
NP_620161.1	101
NP_620162.1	116
NP_620164.1	98
NP_620165.1	74
NP_620166.3	246
NP_620167.1	56
NP_620168.1	590
NP_620169.1	158
NP_620170.3	115
NP_620172.2	224
NP_620174.1	38
NP_620175.1	31
NP_620176.1	262
NP_620177.1	269
NP_620278.1	177
NP_620279.1	95
NP_620305.2	783
NP_620308.1	80
NP_620310.1	184
NP_620311.1	184
NP_620354.1	67
NP_620355.1	67
NP_620385.1	54
NP_620386.1	45
NP_620407.1	26
NP_620409.1	222
NP_620410.3	35
NP_620411.2	169
NP_620412.1	70
NP_620416.1	124
NP_620417.1	56
NP_620419.2	120
NP_620426.2	94
NP_620427.1	103
NP_620428.1	109
NP_620429.1	99
NP_620446.1	58
NP_620448.1	71
NP_620450.2	18
NP_620476.1	123
NP_620477.1	89
NP_620481.2	467
NP_620482.3	523
NP_620552.1	35
NP_620572.1	96
NP_620573.1	100
NP_620575.1	122
NP_620576.1	101
NP_620577.1	97
NP_620578.1	124
NP_620579.1	75
NP_620580.1	40
NP_620581.1	46
NP_620582.1	42
NP_620583.1	38
NP_620584.2	48
NP_620586.3	274
NP_620587.2	115
NP_620590.2	323
NP_620591.3	133
NP_620594.1	508
NP_620595.1	469
NP_620596.2	476
NP_620598.1	99
NP_620599.1	99
NP_620601.1	219
NP_620602.2	258
NP_620603.2	258
NP_620614.2	285
NP_620634.1	57
NP_620636.1	310
NP_620637.1	70
NP_620640.1	135
NP_620641.1	220
NP_620686.1	369
NP_620687.2	478
NP_620688.2	456
NP_620689.1	39
NP_620693.1	60
NP_620706.1	213
NP_620707.1	78
NP_620708.1	77
NP_620709.1	90
NP_620710.2	62
NP_620711.3	245
NP_620712.2	43
NP_620713.1	45
NP_620714.2	284
NP_620775.2	142
NP_620777.1	94
NP_620829.1	270
NP_620830.1	238
NP_620832.1	219
NP_624302.1	275
NP_624311.1	134
NP_624357.1	236
NP_624358.2	517
NP_624361.1	458
NP_631874.1	127
NP_631875.1	137
NP_631894.2	527
NP_631895.1	211
NP_631896.1	182
NP_631897.1	145
NP_631898.3	243
NP_631899.2	160
NP_631900.1	43
NP_631901.2	194
NP_631902.2	177
NP_631903.1	75
NP_631904.1	105
NP_631905.1	176
NP_631906.2	131
NP_631907.1	126
NP_631908.1	108
NP_631909.2	270
NP_631910.1	79
NP_631911.1	66
NP_631912.2	110
NP_631913.3	374
NP_631914.1	166
NP_631915.2	375
NP_631916.2	130
NP_631917.1	129
NP_631918.3	336
NP_631938.1	310
NP_631941.1	148
NP_631946.1	76
NP_631947.1	83
NP_631948.1	210
NP_631957.1	29
NP_631958.1	29
NP_631960.1	14
NP_631961.1	189
NP_631981.2	266
NP_640332.1	74
NP_640333.3	59
NP_640334.2	194
NP_640335.2	122
NP_640336.1	173
NP_640337.3	247
NP_640338.2	77
NP_640339.4	205
NP_640340.2	340
NP_640341.1	154
NP_640342.1	58
NP_644670.1	182
NP_644671.1	74
NP_644802.1	247
NP_644805.1	78
NP_644806.1	107
NP_644807.1	209
NP_644808.1	57
NP_644809.1	41
NP_644810.1	382
NP_644811.1	61
NP_644812.1	33
NP_644813.1	160
NP_644814.1	391
NP_644815.1	11
NP_647450.1	170
NP_647473.1	173
NP_647475.1	169
NP_647476.1	188
NP_647477.1	198
NP_647478.1	148
NP_647479.2	245
NP_647480.1	196
NP_647536.1	5
NP_647537.1	330
NP_647538.1	300
NP_647539.1	39
NP_647593.1	138
NP_647594.1	134
NP_647595.1	130
NP_647596.1	128
NP_647597.1	126
NP_647598.1	117
NP_647599.1	122
NP_647600.1	113
NP_647601.1	97
NP_647603.1	93
NP_647610.2	431
NP_647611.1	148
NP_647612.1	168
NP_652759.3	441
NP_652760.2	146
NP_652763.1	109
NP_652766.1	15
NP_653080.1	566
NP_653081.1	121
NP_653082.1	124
NP_653088.1	97
NP_653089.1	36
NP_653090.1	12
NP_653164.2	98
NP_653165.2	136
NP_653166.2	176
NP_653167.1	336
NP_653168.2	163
NP_653169.2	71
NP_653170.3	413
NP_653171.1	51
NP_653172.2	69
NP_653173.1	265
NP_653174.3	239
NP_653175.2	159
NP_653176.2	273
NP_653177.3	85
NP_653178.3	255
NP_653179.1	79
NP_653180.1	117
NP_653181.1	146
NP_653182.1	173
NP_653183.2	50
NP_653184.2	127
NP_653185.2	143
NP_653186.2	214
NP_653187.3	45
NP_653188.2	195
NP_653189.3	132
NP_653190.2	68
NP_653191.2	69
NP_653194.1	51
NP_653195.2	45
NP_653196.1	77
NP_653197.2	160
NP_653198.2	81
NP_653199.2	142
NP_653200.2	80
NP_653201.1	75
NP_653202.1	48
NP_653203.1	125
NP_653204.1	162
NP_653205.3	354
NP_653206.2	196
NP_653207.1	125
NP_653209.1	98
NP_653210.2	77
NP_653212.1	137
NP_653213.6	416
NP_653214.2	34
NP_653215.2	10
NP_653216.2	127
NP_653217.1	143
NP_653218.1	24
NP_653219.1	147
NP_653221.1	132
NP_653223.2	350
NP_653225.2	113
NP_653226.4	322
NP_653227.1	92
NP_653228.1	39
NP_653229.1	111
NP_653230.2	190
NP_653232.3	212
NP_653233.4	86
NP_653234.2	331
NP_653235.1	49
NP_653236.3	101
NP_653237.1	44
NP_653239.1	52
NP_653240.1	314
NP_653242.3	106
NP_653243.1	89
NP_653244.2	232
NP_653245.2	120
NP_653246.1	47
NP_653247.1	48
NP_653248.3	100
NP_653250.2	108
NP_653251.2	180
NP_653252.3	606
NP_653253.1	164
NP_653254.1	87
NP_653255.1	35
NP_653258.2	138
NP_653259.3	340
NP_653260.1	93
NP_653261.1	74
NP_653262.1	63
NP_653263.2	90
NP_653264.1	150
NP_653265.3	83
NP_653266.2	92
NP_653267.2	1069
NP_653269.3	411
NP_653270.1	98
NP_653272.2	82
NP_653274.1	96
NP_653275.1	300
NP_653276.1	57
NP_653277.2	121
NP_653278.2	258
NP_653281.2	165
NP_653282.2	128
NP_653283.3	313
NP_653284.2	132
NP_653285.2	195
NP_653286.2	253
NP_653287.2	233
NP_653288.1	547
NP_653289.3	166
NP_653291.1	167
NP_653292.2	340
NP_653294.1	118
NP_653295.1	150
NP_653296.2	131
NP_653297.3	392
NP_653298.1	123
NP_653299.4	407
NP_653300.2	405
NP_653302.2	174
NP_653303.2	146
NP_653304.2	96
NP_653305.1	213
NP_653306.1	288
NP_653307.1	32
NP_653308.2	313
NP_653309.3	483
NP_653310.2	189
NP_653311.1	213
NP_653312.2	186
NP_653313.3	135
NP_653314.3	284
NP_653316.3	336
NP_653318.2	95
NP_653319.1	305
NP_653320.3	281
NP_653321.1	174
NP_653322.1	76
NP_653323.1	209
NP_653324.1	20
NP_653326.3	127
NP_653327.1	119
NP_653328.1	84
NP_653333.1	178
NP_653337.1	197
NP_658911.1	110
NP_658912.1	63
NP_658982.1	108
NP_658983.3	100
NP_658985.2	111
NP_658986.1	172
NP_658988.2	383
NP_659001.2	229
NP_659002.1	71
NP_659003.1	78
NP_659005.1	67
NP_659196.1	120
NP_659198.1	190
NP_659205.1	149
NP_659206.1	141
NP_659399.2	109
NP_659400.2	190
NP_659401.2	117
NP_659402.1	360
NP_659403.4	1026
NP_659404.2	100
NP_659405.1	31
NP_659406.1	53
NP_659407.1	65
NP_659409.2	122
NP_659410.3	228
NP_659411.2	97
NP_659412.3	357
NP_659413.1	176
NP_659414.2	129
NP_659415.1	229
NP_659416.1	117
NP_659417.2	216
NP_659418.1	72
NP_659419.3	475
NP_659421.1	80
NP_659422.2	255
NP_659424.2	95
NP_659425.1	73
NP_659426.2	81
NP_659427.3	225
NP_659428.2	361
NP_659429.4	489
NP_659431.5	128
NP_659433.2	124
NP_659434.2	201
NP_659435.2	34
NP_659436.1	194
NP_659437.3	155
NP_659438.1	49
NP_659440.2	275
NP_659441.3	221
NP_659442.2	63
NP_659443.1	82
NP_659444.2	349
NP_659445.1	19
NP_659447.1	97
NP_659449.3	77
NP_659450.1	57
NP_659451.1	113
NP_659452.3	94
NP_659453.3	124
NP_659454.2	197
NP_659455.3	341
NP_659456.3	207
NP_659457.2	228
NP_659458.2	93
NP_659460.3	160
NP_659461.1	249
NP_659462.1	128
NP_659463.1	92
NP_659464.3	305
NP_659465.2	158
NP_659466.2	48
NP_659467.1	94
NP_659469.3	260
NP_659471.1	141
NP_659474.1	186
NP_659475.2	303
NP_659476.2	67
NP_659477.2	118
NP_659478.1	84
NP_659480.1	198
NP_659481.2	124
NP_659482.3	212
NP_659483.2	135
NP_659484.4	129
NP_659485.1	74
NP_659486.2	58
NP_659488.2	82
NP_659489.1	39
NP_659490.4	210
NP_659491.4	251
NP_659492.1	136
NP_659493.2	45
NP_659494.2	31
NP_659495.1	51
NP_659496.2	472
NP_659497.1	77
NP_659498.4	138
NP_659499.2	190
NP_659501.1	122
NP_659502.2	135
NP_659505.1	330
NP_659508.1	106
NP_659540.1	92
NP_659547.2	89
NP_659570.1	267
NP_659731.1	156
NP_659802.1	102
NP_660087.1	24
NP_660088.1	13
NP_660089.1	32
NP_660090.2	187
NP_660093.2	851
NP_660095.1	139
NP_660142.1	393
NP_660143.1	105
NP_660148.3	63
NP_660149.2	117
NP_660150.1	159
NP_660151.2	205
NP_660152.1	48
NP_660153.3	267
NP_660154.3	44
NP_660155.2	273
NP_660156.1	45
NP_660157.1	158
NP_660158.2	101
NP_660159.1	196
NP_660160.2	112
NP_660161.1	47
NP_660183.1	54
NP_660186.1	74
NP_660187.1	555
NP_660198.1	117
NP_660199.1	117
NP_660200.1	117
NP_660201.1	146
NP_660202.3	217
NP_660203.3	58
NP_660204.2	138
NP_660205.3	51
NP_660206.2	106
NP_660207.2	86
NP_660208.2	287
NP_660209.2	75
NP_660213.1	58
NP_660215.1	125
NP_660265.2	28
NP_660274.1	63
NP_660275.2	47
NP_660276.2	84
NP_660277.2	86
NP_660278.3	137
NP_660279.1	148
NP_660281.2	346
NP_660282.2	110
NP_660284.1	126
NP_660286.1	192
NP_660287.1	85
NP_660288.1	114
NP_660289.2	98
NP_660290.3	90
NP_660291.2	73
NP_660292.1	42
NP_660293.1	75
NP_660294.1	45
NP_660295.2	93
NP_660296.1	47
NP_660297.1	62
NP_660298.2	101
NP_660299.2	97
NP_660300.3	55
NP_660302.2	128
NP_660303.1	65
NP_660304.1	33
NP_660305.2	227
NP_660306.1	230
NP_660308.1	92
NP_660310.2	41
NP_660311.1	94
NP_660312.2	89
NP_660313.1	219
NP_660314.1	106
NP_660315.2	47
NP_660316.2	146
NP_660317.2	111
NP_660319.1	190
NP_660320.3	128
NP_660321.1	48
NP_660325.4	66
NP_660326.2	38
NP_660327.2	37
NP_660328.2	67
NP_660329.1	130
NP_660330.2	222
NP_660333.2	454
NP_660334.3	284
NP_660335.2	191
NP_660337.3	846
NP_660338.1	150
NP_660339.1	78
NP_660340.1	28
NP_660341.2	125
NP_660344.2	104
NP_660347.1	70
NP_660348.2	53
NP_660349.1	45
NP_660350.2	231
NP_660355.2	146
NP_660356.2	97
NP_660357.2	76
NP_660358.2	171
NP_660359.2	77
NP_663160.1	263
NP_663161.1	252
NP_663162.1	244
NP_663299.2	29
NP_663303.1	14
NP_663304.1	126
NP_663305.1	111
NP_663306.1	99
NP_663314.1	159
NP_663320.2	199
NP_663325.1	132
NP_663612.2	141
NP_663613.1	330
NP_663614.1	132
NP_663615.1	162
NP_663616.1	89
NP_663617.1	89
NP_663619.1	68
NP_663622.2	367
NP_663623.1	146
NP_663624.1	197
NP_663625.2	146
NP_663626.2	60
NP_663627.1	50
NP_663628.2	1
NP_663629.1	91
NP_663630.2	174
NP_663632.1	65
NP_663633.1	137
NP_663634.2	74
NP_663693.1	145
NP_663696.1	234
NP_663718.1	192
NP_663720.1	172
NP_663722.1	209
NP_663723.1	15
NP_663729.1	99
NP_663731.1	316
NP_663733.1	165
NP_663735.2	115
NP_663736.2	166
NP_663745.1	48
NP_663747.1	106
NP_663748.1	57
NP_663760.1	306
NP_663761.1	181
NP_663768.1	56
NP_663771.1	184
NP_663772.1	209
NP_663777.1	114
NP_663778.1	109
NP_663780.2	613
NP_663781.1	83
NP_663782.2	221
NP_663783.1	84
NP_663786.2	72
NP_663788.1	194
NP_663791.1	88
NP_665682.1	250
NP_665683.1	99
NP_665696.1	448
NP_665697.1	347
NP_665698.2	458
NP_665699.1	113
NP_665702.1	196
NP_665705.1	43
NP_665707.1	67
NP_665734.1	67
NP_665735.1	67
NP_665736.1	144
NP_665739.3	315
NP_665741.1	256
NP_665798.1	66
NP_665799.1	66
NP_665801.1	66
NP_665802.1	97
NP_665803.2	328
NP_665804.1	104
NP_665805.2	82
NP_665806.1	161
NP_665807.1	11
NP_665809.1	102
NP_665810.1	112
NP_665811.1	83
NP_665813.1	79
NP_665814.1	62
NP_665857.2	89
NP_665858.1	40
NP_665859.1	40
NP_665860.2	51
NP_665861.1	215
NP_665862.1	162
NP_665872.2	126
NP_665873.1	144
NP_665874.1	43
NP_665875.1	228
NP_665876.1	228
NP_665877.1	83
NP_665878.2	62
NP_665879.1	151
NP_665893.2	450
NP_665894.2	440
NP_665895.1	104
NP_665898.1	182
NP_665899.1	171
NP_665900.1	173
NP_665901.1	108
NP_665902.1	44
NP_665904.1	42
NP_665905.2	44
NP_665906.1	12
NP_665908.1	12
NP_665909.1	11
NP_665910.1	11
NP_665912.1	11
NP_665916.1	163
NP_665917.1	171
NP_666016.1	213
NP_666017.1	111
NP_666018.3	228
NP_666019.1	185
NP_666023.1	114
NP_666499.1	148
NP_666500.1	121
NP_666533.1	30
NP_667338.3	600
NP_667339.1	29
NP_667340.2	404
NP_667341.1	79
NP_667345.1	242
NP_671488.1	114
NP_671489.1	59
NP_671494.2	377
NP_671512.1	87
NP_671513.1	51
NP_671517.1	276
NP_671692.1	70
NP_671693.1	108
NP_671701.1	37
NP_671702.1	37
NP_671704.3	102
NP_671709.1	70
NP_671710.1	41
NP_671711.1	39
NP_671712.1	43
NP_671713.1	105
NP_671714.1	1226
NP_671716.2	169
NP_671717.1	114
NP_671722.1	104
NP_671723.1	110
NP_671724.1	164
NP_671725.1	133
NP_671726.2	269
NP_671728.2	155
NP_671729.2	59
NP_671730.1	35
NP_671731.1	29
NP_671732.3	160
NP_671733.2	168
NP_671735.1	29
